StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA
3321,17,1,Caucasian,High School,9.90635293867818,25,0,High,1,1,0,0,1.08238995034159
1160,18,0,Caucasian,High School,4.68115550034998,20,0,High,0,0,0,1,1.18954876961879
2644,16,0,Other,Some College,6.84531185579492,13,0,,0,0,1,0,1.85267174103724
2321,18,0,Asian,High School,19.8857597152212,2,0,High,1,0,0,0,3.51723712873573
2419,15,1,African American,Bachelor,14.806260616879,20,0,Very High,0,0,0,0,1.58209326617451
1266,16,1,Asian,Some College,1.50285906355173,10,1,High,0,0,0,0,2.15023326998878
2841,16,1,Caucasian,Bachelor,2.07549417269481,17,0,High,0,0,0,0,1.58014983904076
2811,16,1,Caucasian,Some College,7.5208358221831295,5,0,,0,0,0,0,2.63136784136887
2118,15,0,Caucasian,Some College,3.78721751583726,2,0,High,0,0,0,0,2.84648746874603
2090,16,0,African American,Bachelor,0.278980373838229,13,0,High,0,0,0,0,1.79485975029882
2527,17,1,African American,High School,6.45957466727616,10,0,High,0,0,1,0,2.25257552440578
3347,17,0,Caucasian,High School,18.7821739662048,19,0,Moderate,0,0,1,0,1.82332310264585
1687,16,0,Caucasian,Some College,0.184017952507589,11,1,,1,0,0,0,1.81040948004114
3360,15,0,Caucasian,High School,8.81710225405032,12,1,Moderate,1,0,1,0,2.12147344248716
1335,16,1,Caucasian,Some College,16.7385566568925,7,0,Moderate,0,0,0,0,2.54221434878204
3252,17,0,Caucasian,Bachelor,16.8841917155246,18,0,Moderate,1,0,0,0,1.55768796464135
3168,17,1,Other,Some College,15.2348541293903,17,1,Moderate,1,0,0,0,2.07197243137795
3061,15,0,Asian,Bachelor,0.377617571524693,23,0,Moderate,0,0,0,1,0.369920626897145
3026,16,1,Caucasian,High School,8.85874243468872,0,1,Moderate,0,1,1,0,3.74810228053004
2375,17,1,African American,High School,18.291688704435,21,1,Moderate,0,0,0,0,1.67801253221609
2597,18,0,Caucasian,Some College,11.1247278805155,12,0,High,0,1,0,0,2.46197706839445
1063,15,0,African American,Bachelor,13.2380315294386,11,0,High,0,1,0,0,2.23423847260023
