Index,Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
0,7,99,Yes,9,1,91
1,4,82,No,4,2,65
2,8,51,Yes,7,2,45
3,5,52,Yes,5,2,36
4,7,75,No,8,5,66
5,3,78,No,9,6,61
6,7,73,Yes,5,6,63
7,8,45,Yes,4,6,42
8,5,77,No,8,2,61
9,4,89,No,4,0,69
10,8,91,No,4,5,84
11,8,79,No,6,2,73
12,3,47,No,9,2,27
13,6,47,No,4,2,33
14,5,79,No,7,8,68
15,2,72,No,4,3,43
16,8,73,Yes,8,4,67
17,6,83,Yes,7,2,70
18,2,54,Yes,4,9,30
19,5,75,No,7,0,63
20,1,99,Yes,4,3,71
21,6,96,No,9,0,85
22,9,74,Yes,7,6,73
23,1,85,No,5,6,57
24,3,61,No,6,3,35
25,7,62,Yes,7,4,49
26,4,79,No,8,9,66
27,9,84,Yes,6,6,83
28,3,94,Yes,6,5,74
29,5,90,Yes,4,3,74
30,3,61,Yes,7,3,39
31,7,44,Yes,9,1,36
32,5,70,Yes,6,9,58
33,9,52,Yes,8,1,47
34,7,67,Yes,9,3,60
35,2,97,Yes,9,4,74
36,4,59,No,8,3,42
37,9,72,No,8,2,68
38,2,55,Yes,4,1,32
39,9,68,No,5,3,64
40,5,62,No,7,4,45
41,2,63,Yes,6,0,39
42,4,73,Yes,7,0,58
43,7,46,No,9,5,36
44,8,77,Yes,6,4,71
45,3,76,Yes,4,3,54
46,1,43,Yes,7,0,17
47,4,73,No,4,6,54
48,2,81,Yes,4,3,58
49,8,61,No,7,2,53
50,4,44,Yes,7,6,27
51,2,89,Yes,6,1,65
52,6,81,No,9,9,75
53,6,62,Yes,9,0,52
54,4,93,No,8,3,78
55,6,99,No,4,7,91
56,2,54,Yes,9,5,33
57,2,70,Yes,5,8,47
58,4,98,No,6,0,78
59,8,48,No,6,0,38
60,7,82,Yes,8,4,70
61,9,97,Yes,8,5,98
62,8,92,Yes,4,7,87
63,5,64,Yes,6,2,49
64,2,64,Yes,6,5,41
65,5,88,No,5,2,71
66,8,60,No,4,7,54
67,9,48,No,4,3,42
68,9,94,No,9,1,91
69,1,87,Yes,8,8,61
70,9,77,No,9,9,74
71,7,61,Yes,4,7,54
72,9,82,Yes,5,5,81
73,8,62,Yes,4,2,52
74,1,88,Yes,9,1,65
75,8,43,Yes,7,3,36
76,8,68,No,7,3,61
77,3,54,Yes,5,0,35
78,1,40,Yes,8,8,15
79,8,93,Yes,6,9,88
80,3,69,No,4,7,45
81,3,68,Yes,9,6,49
82,1,59,Yes,8,5,33
83,5,72,Yes,9,2,60
84,7,80,No,8,3,71
85,9,83,Yes,4,1,81
86,7,75,No,6,6,67
87,9,99,No,4,1,95
88,8,61,Yes,6,9,58
89,2,52,No,9,0,29
90,1,46,No,5,5,21
91,7,47,Yes,6,3,38
92,7,67,Yes,8,7,60
93,8,84,Yes,5,0,76
94,5,82,Yes,9,8,69
95,3,48,No,7,5,30
96,8,64,No,5,1,57
97,6,95,Yes,6,7,81
98,3,55,Yes,5,4,36
99,1,49,Yes,9,4,25
100,3,50,No,5,4,27
101,5,70,Yes,9,6,61
102,3,51,No,7,6,34
103,1,99,No,6,9,76
104,5,70,No,8,6,57
105,7,53,No,5,9,45
106,7,90,Yes,4,1,76
107,9,83,Yes,8,7,83
108,3,71,Yes,5,0,50
109,7,89,No,8,1,81
110,1,92,No,4,6,66
111,4,56,Yes,8,3,38
112,4,74,No,8,9,56
113,5,40,No,4,9,25
114,7,68,No,4,8,56
115,7,90,Yes,4,8,82
116,4,43,Yes,7,2,23
117,7,62,Yes,9,2,56
118,3,67,No,9,8,46
119,6,55,Yes,4,9,43
120,2,51,Yes,9,7,30
121,9,92,Yes,8,0,92
122,5,60,No,4,5,45
123,6,84,No,5,6,70
124,4,56,No,4,7,36
125,7,79,No,4,1,71
126,9,52,No,9,0,49
127,7,91,Yes,6,3,82
128,1,97,Yes,8,0,71
129,1,71,No,9,1,43
130,9,76,No,8,2,77
131,9,89,Yes,5,3,86
132,4,54,No,7,5,34
133,9,51,No,6,7,49
134,3,88,No,5,8,69
135,7,96,No,5,3,84
136,6,54,No,8,0,41
137,8,73,Yes,6,4,68
138,9,45,Yes,8,4,44
139,5,56,No,7,8,41
140,1,87,No,8,5,58
141,3,88,Yes,4,4,68
142,8,96,No,8,9,94
143,6,59,Yes,4,9,47
144,8,48,No,5,4,40
145,9,98,Yes,7,7,100
146,4,44,Yes,9,0,23
147,1,62,No,4,4,36
148,1,72,No,7,0,47
149,4,77,Yes,8,6,60
150,7,95,No,9,6,83
151,2,53,Yes,8,9,33
152,3,56,No,5,7,36
153,1,96,No,8,6,74
154,5,58,No,4,8,42
155,1,72,Yes,5,7,47
156,8,40,Yes,7,7,31
157,1,52,No,5,2,26
158,1,85,Yes,7,9,58
159,2,66,No,6,3,42
160,2,45,Yes,4,3,18
161,6,98,No,4,0,85
162,7,45,Yes,7,5,36
163,5,72,Yes,8,1,58
164,1,69,Yes,9,8,45
165,1,85,Yes,8,0,60
166,3,74,Yes,6,0,56
167,2,62,Yes,7,9,42
168,5,49,No,6,5,33
169,6,90,No,7,0,77
170,7,58,Yes,6,2,51
171,4,90,No,7,9,72
172,7,67,Yes,4,1,57
173,8,62,No,6,8,53
174,1,43,No,6,4,16
175,6,59,No,7,5,45
176,8,58,No,5,1,49
177,5,81,Yes,5,7,67
178,4,66,No,4,5,49
179,2,96,No,8,7,73
180,6,73,No,8,7,65
181,6,43,Yes,4,0,27
182,1,95,No,8,6,72
183,9,77,Yes,9,1,74
184,6,46,Yes,9,7,38
185,3,87,No,9,1,67
186,4,46,Yes,9,3,28
187,4,89,No,7,1,73
188,3,91,No,5,6,72
189,3,65,No,4,4,42
190,3,65,No,7,8,47
191,4,93,No,9,4,77
192,7,58,No,4,7,49
193,4,48,No,5,1,30
194,9,59,Yes,8,2,54
195,1,81,Yes,7,5,56
196,8,84,No,5,6,75
197,7,89,No,4,9,78
198,2,55,Yes,6,7,32
199,8,93,No,7,2,89
200,1,56,Yes,4,6,29
201,9,61,Yes,4,7,57
202,9,52,No,5,9,48
203,2,51,No,4,5,27
204,7,49,Yes,7,3,38
205,3,40,Yes,9,5,18
206,7,71,No,7,8,66
207,9,69,No,4,2,65
208,4,47,Yes,5,1,27
209,1,60,Yes,7,4,33
210,2,61,Yes,6,6,37
211,1,57,No,9,2,29
212,5,41,No,8,4,26
213,5,87,No,5,3,72
214,7,83,Yes,5,6,77
215,9,48,Yes,8,1,45
216,9,42,No,8,6,41
217,3,93,Yes,7,1,73
218,3,65,Yes,4,2,43
219,3,60,Yes,4,4,39
220,4,69,Yes,6,6,54
221,8,67,Yes,9,5,62
222,6,75,No,4,6,63
223,8,65,No,6,5,59
224,1,73,No,6,0,46
225,8,47,No,5,4,42
226,4,49,No,5,0,30
227,1,87,Yes,9,6,63
228,8,94,Yes,7,3,89
229,4,82,Yes,8,4,62
230,6,89,No,8,0,77
231,8,93,Yes,9,7,88
232,4,53,Yes,6,3,35
233,3,79,Yes,9,2,60
234,9,94,No,8,0,92
235,3,54,Yes,6,3,38
