Square_Feet,Price
4325,741452.3861797474
3884,579469.2300198633
3952,645343.4432958013
4802,739800.2237966878
3681,541393.3105222225
1208,209471.70377635557
3437,527778.3283480083
1518,250560.3239133671
4720,773075.8472520326
828,100738.67744233974
4578,724545.0824448552
1233,256045.66483064982
804,142136.36935970996
802,162714.07876369922
3896,592716.1980174355
4024,694229.3770730352
2856,414713.245096098
4486,668811.3699688945
3958,636999.792545143
1099,194851.44456554877
1196,204727.34830240335
879,147387.1134781845
1358,93225.02040406682
640,140616.47069365688
2094,180957.99523392756
1669,258916.77518555705
3982,622301.8932166788
1885,306932.0740961601
3778,671324.7298888256
1777,150553.0120212997
2005,305170.6693654537
1363,287976.6305799093
2781,407519.03133614874
4606,649984.9190927263
4468,805540.4790854224
3895,511835.17410405737
2423,484720.8430582487
2769,381422.36280702497
861,119281.26393909818
4265,660632.8689195684
3871,534561.573496868
2640,488460.0613928489
2031,243848.14193856486
4165,616084.4588903317
3462,463219.9070089703
4289,731246.5759380083
2152,305697.688328791
2113,326480.95945722476
3877,645109.141330495
766,62889.37698169532
2117,287636.71194717294
4798,730840.9023108798
3197,450193.3875856299
3014,435160.751370263
4702,765269.8947304449
4598,671259.2877435194
3074,444578.87527373317
1290,346788.9227122058
952,-2742.1899364890705
952,150758.44438486252
3618,613356.8193837957
1577,166709.20311419692
931,82334.25517450625
2319,356813.91023012355
3847,649391.1417055823
1025,97372.01777094888
3184,479992.9888858275
1472,206864.10041477694
3994,654484.8240476252
1722,294830.0127631969
509,2369.589774649008
2336,362237.83352093044
4289,637240.6383272577
2437,362744.23487543256
1847,190810.69995226938
4999,760756.6717568382
2043,272877.83886365837
2168,318858.23236213473
2882,495728.0814260367
3557,588481.4765390153
661,86210.63125528558
3787,698909.5877702159
4516,738475.7657972575
2406,261574.86908902193
4214,626588.8409077299
4049,666011.2773950209
4682,676226.2056658849
4068,652377.9040727474
1053,211528.92299342135
3959,681997.3010079217
4842,774377.2642490617
4031,672323.9672357365
4740,732446.7820860925
3810,484823.3626789107
1673,325870.38960085134
3618,469030.8185940577
3977,700358.590440204
3865,491455.5707945634
2849,389278.95162151376
1773,331846.3517574979
2078,388034.3858240198
4903,773018.1399976318
4514,691627.2342084837
3641,426766.8563847182
3918,700015.2875810703
3288,565514.039606282
4128,580006.298592991
3367,489118.6114283609
1557,120691.26668160236
4035,700424.8825420372
4282,619927.5779929603
4243,594197.6384209893
3606,564958.9715787926
4993,837494.8331954353
2167,361297.5552081908
1132,149377.44717439072
1291,180076.09722055067
1756,228460.4855685212
3261,449195.5933880615
2658,338610.38044777175
948,193519.2719588625
3252,474893.64294413914
3164,464443.47675874754
1620,239699.51945229215
3588,510648.96692667285
4834,718113.9665109996
2440,439018.96612939175
2755,392043.3692882418
1181,232491.19410722228
994,78021.0993063341
2884,488820.579602586
4055,683108.2926226443
4205,626150.1890346872
4748,706139.2304726533
2009,297630.81217555655
3928,561899.9709152686
4986,644548.8571057866
2485,416141.4968056635
4771,745657.3096473672
3260,519188.1554988135
1546,235738.21115176834
4889,851242.04847446
2098,355769.8264670197
3498,413740.80170879664
1059,204358.8846962224
1174,146259.2935282085
3843,615874.3610168902
2115,367880.4126980685
2422,403712.94479493203
2375,285275.37051300646
952,122090.17502879545
1556,202694.79937731283
4012,659628.98117345
2558,408010.4713460876
4631,645458.5918463104
4461,716090.4558464083
3481,527217.0340268421
1226,127897.2605152743
904,186261.17164167328
1048,159302.61684964213
1033,188063.8989030138
3604,546596.7319010147
2312,336976.63935415127
4907,735254.6085380769
3052,487440.2265577822
4099,618555.3556029919
3580,543694.4488235114
2720,472579.376061441
793,169575.00800463275
4828,774683.1494725574
814,112840.49639576614
1961,315560.2568316403
1098,206666.97809888242
2163,228596.1687022221
1000,166479.3247457738
3275,446894.2634683788
3345,561843.9469957198
1813,239767.31541052964
4293,587251.0176106488
1939,361419.3844704946
924,108536.75902389047
1540,204417.77647052973
1353,165904.57905586835
4216,582616.8422397973
1052,177252.06894402596
4006,558369.9645858046
4822,650581.9382301851
1227,259068.9288708989
4403,686999.2113087266
905,101923.32972157204
4363,592684.3026985225
577,21760.297130561696
3818,617707.5131704353
2039,299415.34168053675
4096,564099.6068553204
2499,382970.34705868305
4394,558092.5034876231
2287,332922.1444650645
4419,726096.7979245713
2133,280525.75549482414
3005,383418.78923092736
1195,227574.4391329626
2426,314741.7256600354
1066,76190.58280576319
1422,125828.0994854617
4775,821429.5850999514
1986,218988.69474684092
2445,316039.831502302
2405,446715.02974780026
4623,788413.0583890534
4404,627617.2480940594
1738,274810.23940605856
2072,244592.4730427626
4861,644837.2718262401
1642,270225.5661535067
4073,617559.0988747423
4055,577607.6389459196
2772,426848.9717918574
563,21123.13186467466
3532,579713.6179129547
2726,423996.60071841575
4928,681406.5966833425
3069,381446.8196436421
1893,180141.44609525712
3260,563215.2634407902
1251,218098.89416563945
516,48708.48671432429
4745,720336.1063794234
4334,614924.6552607779
2547,335897.1318186375
1548,199646.33455655765
757,138329.78571656774
1949,248629.71596470271
4507,618672.789339425
2282,332693.85759969335
1423,186314.76059674367
4664,747131.5721748039
2131,313793.312995784
744,97867.99046022428
2361,357669.047836597
4000,636425.7911058562
2887,448837.4889547646
2288,265870.8730772586
3826,577705.8295010478
3555,505980.2920339022
2844,535492.1544048361
3262,475310.5418130513
4562,766888.5311849733
3144,551253.0247315721
1490,164520.56401341426
1956,359543.9953663238
3230,562758.2731926044
4096,632230.8500367788
4533,695536.8774985505
3067,490299.0079474617
4018,713884.3969810549
1324,88579.73066854541
3851,520738.84485148237
3992,691279.251674684
3036,420318.68230104464
848,219539.75072518107
3659,668133.8659092152
1697,218706.8248517656
4907,753110.7344850383
2554,410541.5918178168
4584,686359.1577265987
1524,284537.55960062816
3486,498442.23004751967
1043,147815.7744686325
1155,147508.46223140834
1763,235395.880027638
1601,209470.76700417796
1369,190473.7546461797
3799,542268.7335389166
3144,582358.2315043849
2325,423175.01209337893
4899,649061.9319359615
3613,578663.1283825175
4844,680703.3381456548
589,123760.66896345755
4481,695147.458446252
3981,567164.4882642863
2339,397580.0875722463
3277,568632.0874807313
1238,188678.32025172684
3691,589436.3571814451
4321,632033.1225123925
4072,519760.4123066978
4725,752993.929762501
1144,138526.42952161748
2779,362492.26556181436
2084,251984.7582764531
987,98978.26861845679
1791,222483.82485508482
2377,413225.3048994285
4556,598103.9121939071
554,6076.261125506877
3905,564207.9882419289
1476,183864.42644187424
3468,478188.7942085153
2606,427225.6919735498
3688,532978.6510672416
1482,227454.50522669934
3188,535848.9771268165
2220,358872.0635148655
704,43765.28942775052
1531,310697.78467943653
4043,608140.4902974556
3661,462451.083120114
4559,676483.5139243772
773,63333.43854078967
2277,355884.70301309245
1095,46114.1371359834
4994,791820.433532491
2194,336572.5205792553
4501,775837.1348549575
692,115102.24730036936
2468,411150.7316689607
4250,686982.3123243696
2742,338802.2223142412
4172,607361.5093087144
1936,254978.64477356436
4048,637956.0508594833
4180,684105.5120499046
4439,682326.19183862
4752,721802.1446511422
3654,520349.26942361833
3689,579508.5535738774
1622,177685.92253664928
628,61050.21502111463
757,91627.00552936787
1293,193358.6127107761
3936,662341.7885193289
1019,175748.00864640166
520,13798.761605027365
4206,598316.028679098
4527,637626.6839533227
1065,174809.88669370994
2923,496071.2430101716
3643,553875.9830743294
2298,434993.8086004028
2720,450878.66673641466
3872,558144.8007917394
2672,321537.95623769227
2762,376750.132675836
2110,271175.419797383
1159,283241.01018417685
3117,496542.8587968943
916,214549.9681700922
3498,552152.1671397467
970,176389.66248992953
1095,162464.3542512736
1154,85843.13609308901
2366,337873.2575363729
4271,620318.5699437978
1539,138075.14991852222
4353,637283.5086923009
4883,750253.7813780219
791,113534.60345138986
2564,276261.6785765371
820,78977.73514096643
3314,474058.3024953987
609,74955.38987923405
3415,381445.6948704227
2173,308019.97756507056
4657,724680.9955263282
4770,709114.7595851052
955,163154.8890953451
2711,375033.8875822953
1672,240786.7889834232
4944,716103.5713684688
1746,246653.4330369171
4584,652244.9320632515
1193,239993.44397886278
1114,136642.14664137634
3878,606148.5033941732
4735,652164.3260271301
4487,750320.4886439848
600,83017.93854102957
4714,778508.430395623
2647,336462.4752444702
4242,608596.683100738
2654,386986.2171774452
3301,468357.4659020371
3965,577448.7739040256
748,151100.00060347427
4406,718923.8551644388
2723,370548.4749160673
974,100482.1030569861
2092,280684.6581994756
2170,322400.37437518575
3662,639636.7992571288
4658,678582.6951533109
3448,529599.3352358338
2392,341094.2536368256
1673,390028.1424800259
3042,482347.7495746655
858,85134.85660356849
1872,356408.9780062976
3710,591226.955155396
1274,264185.23947900726
3165,526110.9711677082
4053,590663.0265199132
3924,551735.5336211338
4284,595326.0720609444
1094,185154.60251113938
4428,719486.4432285852
2214,377584.2886050208
3735,587579.0444256483
4416,656182.705923133
2056,321116.51856119867
3260,556720.1769416925
2669,441621.26675040607
4977,720241.8825665155
1740,256511.43569218903
1242,202094.9622654862
4687,732149.0949206772
1525,298844.59080715565
4990,731419.7249245177
1847,357034.28579811484
757,170996.31907422308
583,37176.93372336001
3949,542355.3068741253
1817,225637.51799717723
4823,745107.6898453261
1005,115600.44197437944
4646,662053.9339275867
3595,551670.6014376284
4441,671361.1631509434
3538,630471.8945918309
1801,295165.4798002858
4684,755305.0310269898
1740,285402.9278549491
2714,343688.23141149763
635,94799.14263248506
2950,512116.3251290234
2149,329188.28273048496
4670,662765.6281117846
2413,312614.96921266423
1568,327480.899349338
3069,347589.28502451815
3996,632257.7823954228
4960,755736.8812871292
4962,737225.1336209718
3965,584145.7871178789
3170,468098.9941385115
4383,638298.3479492811
1105,210048.3886370745
3077,509114.92630277673
809,138728.75175422512
3286,559152.0315293856
1451,188007.1145873665
3117,407757.79667291313
2200,340819.01369017654
3556,528469.688026867
4344,693420.3646069004
3876,543519.810508102
4157,636498.5913754537
537,7804.751632595784
3786,655094.4955746421
4108,686216.6039975208
3840,564604.4763103572
3850,597240.2040760356
2904,465593.45852779766
4888,791232.4796285394
3805,584553.9393975643
4835,741178.7808904032
3431,521872.7696570538
1417,146968.14295648655
647,184443.86773553336
979,184856.07553522493
1763,241861.93328688346
2909,410521.6711818311
3942,519623.16934502946
1724,184675.6712798275
3329,459267.0731816261
1259,194359.56713863523
4675,703433.8284641121
866,-2844.3685078181443
2105,257581.24950170924
4104,653326.9552167484
972,157347.49056615462
831,169741.1400512579
1142,214411.05700128246
4953,759545.2886840825
2062,268518.6413121201
2387,382453.1304555553
3760,505129.7181855821
2014,337747.56004187214
1623,226743.85016954548
1446,190565.87019056902
1730,273779.7112147729
4167,637169.4711800328
3353,557679.9175895479
4903,742282.7416850764
554,101289.95631364782
3547,480569.68010898115
2962,318710.1770632874
3548,536132.7575602905
3247,422922.37706202
2174,287287.35378523136
3622,489703.3887242063
2914,515167.9593771733
2573,421071.9564084971
3990,641062.599221626
584,132349.16981084872
3048,506631.99187493685
3838,584999.458104974
3306,434772.1051531326
2745,480238.6903753861
4920,766224.7565084081
999,218767.52533728635
4388,690612.0664527077
3286,478492.2310181277
949,229600.80666521547
3505,488694.7217243284
1937,284786.5443490825
3306,527303.9519284586
1144,146151.15575863677
631,127154.30450996303
4337,636880.3859019771
2150,360784.4234422035
711,22137.0044366723
2086,307557.59825801547
1895,241714.87715506705
4133,530451.0928091177
1872,358929.2158936278
3024,377147.00323463813
1816,236715.36374445914
617,86024.4725228115
2838,538421.43042951
3396,499924.7638182587
3870,550878.8903843268
4359,671912.6797214135
4364,717157.2111995448
2220,322236.9808586804
1359,250419.03051643475
3224,435719.1627675738
2007,185307.055472227
2410,271266.7508538019
4332,560041.7494974295
3645,488945.9013739942
1655,298007.32574076677
3093,400136.04921437835
4388,649467.2417807872
1247,174590.9050374341
3149,451304.08487838047
4182,619991.8822780608
3395,448608.11501426436
1495,200438.27351736836
503,101086.4924696105
4408,655520.1646883907
4103,560214.7903299099
2420,402095.7670888692
3832,601078.840303797
1130,222766.83734008146
3021,511925.7554910421
4600,755492.053536867
3324,540753.6767723293
4861,613066.8199543977
2745,414499.7713363354
1273,219009.854781655
4363,698681.8291177972
1688,293978.6812893166
1300,227810.3516296678
981,212964.73686731397
4134,694342.3810227896
3504,515150.4765641919
4638,733680.6954266338
2641,364837.2819024545
3230,424638.2848969537
784,156782.83529054583
4122,662466.2167369187
1780,131833.71686848818
3882,674955.9896477433
3322,426094.74923142744
2988,376827.560646791
2370,410741.9850259183
1773,285383.2549601542
3105,450779.61767371075
1505,316748.5496343052
4420,625831.8006176915
3581,438668.1517086993
4179,589875.6191946615
3548,549330.9118199158
4123,577738.8300464014
3996,539238.1786230294
2221,237918.16307980043
3496,473175.2980598537
2150,352546.85323519126
4494,668049.0138506917
2356,334010.3073194011
4690,733471.1242266893
4565,721685.1424101206
1159,174146.662334261
1875,347117.87184826774
4780,691583.4462193461
1252,154414.52499757084
3107,454493.8545059792
4923,719405.9581435384
2415,398154.7746359897
3937,547194.435014803
783,200608.63809941272
2991,483387.71530353616
4950,781633.1602676845
3941,625017.1031705446
3271,441703.8303074951
2426,353319.87206845224
2485,373036.7377993778
3782,557528.7712845776
4965,700438.0571069543
3928,587732.257424914
4589,702864.279477911
2522,369493.7821811387
2957,468878.1523245798
767,143711.83566336712
3432,516364.7461469448
2348,320214.57435414003
2095,353756.4717109641
1626,224912.5696350467
2534,431580.6566783768
4715,701797.0570835655
3751,523689.4928244166
1866,358344.92166640155
3091,481744.4717496159
